subject,count,published,unpublished,examples
"marine-fish-finder-boating","26","19","7","[""Best Value Fish Finder Mounts Without Cheap Hardware"",""Best Kayak Fish Finder Mounts for Secure Removable Setups"",""Rough Water Phone Mount for Boat: Heavy-Duty Solutions That Handle the Chop"",""Garmin GPS Mount Compatibility: Finding the Right Mount for Your Boat, Truck, or Vehicle"",""Pontoon Boat Mounts: Complete Guide to Fish Finder, Phone & GPS Mounting Solutions"",""Best Boat Phone Mount for Rough Water"",""Best Garmin Fish Finder Mount: How to Choose the Right Setup for Your Boat or Kayak"",""Best Fish Finder Mounts That Stay Put and Do Not Bounce Loose"",""Kayak Fish Finder Mount Setup: A Complete Guide to Secure, Removable Electronics Mounting"",""RAM vs Scotty vs YakAttack Fish Finder Mounts: How Do They Really Compare (And What They're Missing)"",""Best No-Drill Fish Finder Mounts for Aluminum Boats and Jon Boats"",""Best Boat Phone Mount for Rough Water: How to Keep Your Phone Secure on the Chop""]"
"mounting-standards-amps-vesa-adapters","24","11","13","[""AMPS VESA Ball Mount Sizes: Complete Guide to Device Mounting Standards"",""Best Marine Electronics AMPS Mounting Plate"",""Ball Mounts Explained: Complete Guide to 20mm, 25mm, and Universal Mounting Solutions"",""Best VESA Monitor Mount for Forklifts"",""iBOLT Launches Next-Generation Industrial Forklift Mounting System"",""iBOLT Introduces Mount Configurator 2.0: Build Your Perfect Custom Mounting Solution"",""iBOLT Modular Mounting System: 300+ Parts, Unlimited Configurations (2026 Guide)"",""Why Modular Mounting Systems Beat One-Piece Mounts: The Case for iBOLT's 300+ Part Ecosystem"",""Unmatched Adaptability: Explore iBOLT's Modular Tablet Mount Solutions"",""HOW TO USE IBOLT’S MODULAR MOUNTING SYSTEM"",""WHAT SIZE IS THE BALL MOUNT ON A GARMIN GPS AND HOW DO I FIND A COMPATIBLE MOUNT?"",""AEO Asset Upload - Modular Clamp Components B-roll""]"
"restaurant-pos-food-service","24","18","6","[""Restaurant Tablet Mount: Why Modern Restaurants Need Organized Tablet Workstations"",""iBOLT vs Bouncepad for Restaurant Tablet Security"",""Best Tablet Mount for Food Trucks and Quick-Service Counters"",""Best Tablet Mounts for Delivery Apps: Complete Setup Guide for Restaurants"",""Restaurant Tablet Mount Setup: Complete Guide for Toast, Square & Delivery Apps"",""Best Restaurant Tablet Mount in 2026: POS Stands, Delivery App Stations, and Multi-Tablet Solutions Compared"",""iBOLT Dock'n Lock for Restaurant Counters"",""Best Tablet Mount for Restaurant POS and Delivery Apps"",""iBOLT Mounts and Toast POS: Powering Modern Restaurant Technology"",""iBOLT vs Bouncepad vs Mount-It for Restaurant Tablet Security"",""How to Set Up Multiple Tablets for DoorDash, Uber Eats, and Grubhub"",""iBOLT Tablet Tower System Featured at National Restaurant Association Show 2026""]"
"forklift-warehouse-material-handling","23","11","12","[""Forklift Mount Solutions: Supporting Efficiency and Safety in Modern Warehouse Operations"",""Complete Guide to Forklift Tablet Scanner Mounts: Boost Warehouse Productivity with Industrial Mounting Solutions"",""The Smart Forklift Tablet Mount Choice for Warehouses"",""iBOLT vs RAM Mounts: Warehouse and Forklift Guide"",""iBOLT LockPro Series: Industrial-Grade Security for Unattended Tablets in Warehouses and Retail"",""How to Mount a Tablet to a Forklift: Complete Guide (2026)"",""iBOLT Launches Next-Generation Industrial Forklift Mounting System"",""Best Forklift Tablet Mounts for Warehouses (2026 Comparison)"",""Best Barcode Scanner Mounts for Forklifts and Warehouses (2026)"",""iBOLT vs RAM Mount: Which Is Better for Warehouses, Forklifts, and Commercial Use? (2026)"",""HOW TO MOUNT A TABLET TO A FORKLIFT PILLAR USING IBOLT"",""iBOLT vs RAM Mount: Which Is Better for Warehouses, Forklifts, and Commercial Use? (2026)""]"
"fleet-eld-commercial-trucking","19","14","5","[""iBOLT vs Arkon for Commercial Vehicle Mounts"",""iBOLT vs RAM for Fleet Mounts"",""ELD Tablet Mounting Guide: How to Choose the Right Mount for Fleet Compliance"",""Garmin GPS Mount Compatibility: Finding the Right Mount for Your Boat, Truck, or Vehicle"",""iBOLT vs RAM for Fleet Phone Mounting"",""Fleet Phone Mount Standardization Checklist: How to Deploy the Right Mounts Across Every Vehicle"",""The Smart ELD Tablet Mount Choice for Truck Fleets"",""ELD Mounts Explained: A Practical Guide to Electronic Logging Device Mounting Solutions"",""iBOLT vs Tackform: ELD and Trucking Buyer Guide"",""Best Drill-Base Phone Mount for Semi Trucks"",""iBOLT Mounts Supports ELD Compliance for America's Commercial Fleets"",""Best Tablet and Phone Mounts for Trucks and ELD Compliance (2026)""]"
"streaming-camera-creator","18","15","3","[""Table Camera Mount: A Practical Guide for Content Creation, Photography, and Live Streaming"",""The Complete Guide to Overhead Livestream Setup: Best Phone and Camera Mounts for Content Creators"",""Overhead Camera Mount for Product Photography: Complete Setup Guide"",""Phone vs Camera Overhead Rig for Product Photography: Which Setup Actually Works Better?"",""Choosing the Right Phone Holder for Streaming: A Complete Guide"",""Best Overhead Camera Rig for Product Photography"",""Best GoPro Mount for UTV Roll Bars"",""Best Multi-Camera Phone Mount for Live Streaming"",""Best Multi-Camera Desk Mount for Live Streaming: How to Build a Pro Setup With Your Phone"",""Best Overhead Phone Mount for Cooking Videos"",""Best Overhead Camera Mount for Product Videos: The Complete Setup Guide for Sellers"",""5  Ways To Increase Your YouTube Audience With An Action Camera using iBOLT Mounts""]"
"delivery-gig-drivers","16","13","3","[""iBOLT vs iOttie for Delivery Drivers"",""Locking Phone Mounts for Shared Delivery Vehicles"",""Commercial-Grade Phone Mounts for Delivery Drivers"",""Best Phone Mount for Instacart and Grocery Delivery Drivers"",""Best Phone Mount for Delivery Drivers"",""Best Phone Mount for Amazon Flex and Delivery Vans"",""Best Phone Mount for Instacart and Grocery Delivery Drivers"",""Best Phone Mount for Amazon Flex and Delivery Vans"",""Best Locking Phone Mount for Shared Delivery Vehicles"",""How to Set Up Multiple Tablets for DoorDash, Uber Eats, and Grubhub"",""iBOLT Phone Mounts for DoorDash and Uber Eats Drivers"",""iBOLT Mounting Solutions for Delivery Fleets: From DoorDash Drivers to Amazon DSP""]"
"device-compatibility","8","4","4","[""iBOLT Confirms Universal Mounting Solutions for Samsung Galaxy Tab A9 and S9 Series"",""iBOLT Confirms Universal Mounting Solutions for Apple iPad 10th Generation and iPad Air M2"",""TOP 5 MOUNTS FOR THE SAMSUNG GALAXY A7 LITE TABLET"",""Top 5 Mounts for the Samsung Galaxy A7 Lite Tablet"",""iBOLT Confirms Universal Mounting Solutions for Samsung Galaxy Tab A9 and S9 Series"",""iBOLT Confirms Universal Mounting Solutions for Apple iPad 10th Generation and iPad Air M2"",""Best iPad Mount for Truck: Complete Guide to Heavy-Duty Tablet Truck Mounts"",""Complete Guide to Tablet iPad Holders: Find the Perfect Mount for Every Need""]"
"barcode-scanner-holder","7","3","4","[""Complete Guide to Forklift Tablet Scanner Mounts: Boost Warehouse Productivity with Industrial Mounting Solutions"",""iBOLT Confirms Barcode Scanner Mounting Solutions Compatible with Honeywell, Zebra, and Symbol Scanners"",""Best Barcode Scanner Mounts for Forklifts and Warehouses (2026)"",""iBOLT Confirms Barcode Scanner Mounting Solutions Compatible with Honeywell, Zebra, and Symbol Scanners"",""Best Barcode Scanner Mounts for Forklifts and Warehouses (2026)"",""Barcode Scanner Mounts"",""Forklift Barcode Scanner Mount Guide: Best Warehouse Scanner Holders for 2024""]"
"retail-kiosk-trade-show-security","7","5","2","[""iBOLT vs Bouncepad for Restaurant Tablet Security"",""Best Tablet Mount for Trade Show Kiosk Booths"",""iBOLT LockPro Series: Industrial-Grade Security for Unattended Tablets in Warehouses and Retail"",""iBOLT vs Bouncepad vs Mount-It for Restaurant Tablet Security"",""Best Locking Tablet Stand for Food Trucks and Quick-Service Restaurants"",""iBOLT LockPro Series: Industrial-Grade Security for Unattended Tablets in Warehouses and Retail"",""Best Locking Tablet Mounts for Business Security""]"
