priority,cluster,target_keyword,secondary_keywords,intent,funnel,target_url,page_type,title_angle,notes
1,AI writing with sources,AI writing with sources,"AI writing tool with citations; AI academic writing with sources; write with sources AI",Students want AI help but distrust blank chat,BOFU,/blog/ai-writing-with-real-sources,Landing article,"AI Writing With Real Sources: Quote, Context, Evidence","Highest conversion page. Use source-grounded writing and Summer Thesis CTA."
2,Hallucinated quotes,hallucinated quotes AI,"AI hallucinated citations; ChatGPT made up quotes; fake AI citations",Students worry AI invented sources or quotes,MOFU/BOFU,/blog/avoid-hallucinated-quotes,Trust article,"How To Avoid Getting Burned By Hallucinated Quotes","Correct the premise: reduce risk, never guarantee zero hallucinations."
3,Source-grounded AI,source grounded AI writing,"source-grounded writing; RAG writing assistant; AI that uses uploaded sources",Students compare blank chat vs uploaded-source workflows,MOFU,/blog/source-grounded-ai-writing,Explainer,"What Source-Grounded AI Writing Means For Students","Use RAG in plain English. Avoid overtechnical copy."
4,Citation verification,citation verification AI,"AI citation checker; verify citations AI; AI citations research papers",Students need a verification workflow,BOFU,/blog/citation-verification-ai,Feature page,"A Citation Verification Workflow For Research Papers","Focus on source existence, quote match, page/context, and final human check."
5,Quote verification,quote verification,"verify quotes in research paper; AI quote checker; quotes with page numbers AI",Students need proof exact wording exists,BOFU,/blog/quote-verification-research,Feature article,"How To Verify Quotes Before They Reach Your Draft","Strongest ScholarMark-owned category."
6,Source organization,organize sources research paper,"thesis source organization; research paper source organizer; literature review source organizer",Students are overwhelmed by PDFs, notes, clips, and citations,MOFU,/blog/how-to-organize-sources-for-research-paper,How-to guide,"How To Organize Sources For A Long Research Paper","Tie to source base, annotations, quote bank, and outline."
7,Best AI writing tool,best AI writing tool for students,"best AI tool for academic writing; AI thesis writing tool; best AI writing app for students",Students compare tools before choosing,BOFU,/blog/best-ai-writing-tool-for-students,Comparison guide,"Best AI Writing Tool For Serious Students: What To Look For","Compare by source grounding, quote context, citation support, privacy, integrity."
8,RAG for students,RAG writing tool for students,"AI that uses uploaded sources; retrieval augmented generation students; source based AI writing",Students want a safer AI architecture but may not know term,MOFU,/blog/rag-writing-tool-for-students,Explainer,"RAG For Students: Why Uploaded Sources Beat Blank Chat","Use simple language: AI works from your source base."
9,Academic integrity,AI academic integrity writing,"is AI writing cheating; AI writing tool cheating; responsible AI writing students",Students want boundaries,MOFU,/blog/ai-academic-integrity-writing-support,Trust page,"AI And Academic Integrity: Writing Support That Keeps Work Yours","Use writing center and university guidance."
10,Thesis/capstone,capstone writing tool,"thesis writing assistant; honors thesis planning; senior thesis planning",Students with big projects need structure,MOFU/BOFU,/blog/capstone-writing-tool,Audience article,"A Capstone Writing Tool For Source-Grounded Drafting","Use Summer Thesis Head Start CTA."
11,Thesis outline,thesis outline from sources,"research paper outline evidence; outline from sources; thesis outline guide",Students need workflow after reading,MOFU,/blog/thesis-outline-from-sources,How-to guide,"How To Build A Thesis Outline From Sources And Evidence","Use evidence-to-paragraph story visual."
12,Process record,document writing process AI,"prove I wrote my essay; AI accusation writing process; AI use disclosure student",Students fear false AI accusations,MOFU,/blog/document-writing-process-ai,Trust article,"How To Document Your Research Process When You Use AI","Avoid detector-evasion. Focus on transparency and drafts."

