captured_at,page_title,page_url,article_id,category,published_at,updated_at,product_links,add_to_cart_links,image_count,body_chars,benchmark_priority,top_fix,losing_queries,analytics_sessions,analytics_add_to_cart,analytics_checkouts,analytics_revenue,measurement_status
2026-06-25T02:35:18.544Z,"Best Restaurant Tablet Mount in 2026: POS Stands, Delivery App Stations, and Multi-Tablet Solutions Compared",https://iboltmounts.com/blogs/news/best-restaurant-tablet-mount-in-2026-pos-stands-delivery-app-stations-and-multi-tablet-solutions-compared,634908475684,restaurant,2026-05-17T06:52:00-07:00,2026-06-11T18:32:45-07:00,18,8,3,23305,1262,missing early quick answer,best tablet mount; best multi tablet mount; best restaurant tablet mount,,,,,Not available unless Shopify report export/API read_reports/GSC/GA4 data is supplied.
2026-06-25T02:35:18.544Z,Best Phone Mount for Construction Vehicles and Work Trucks,https://iboltmounts.com/blogs/news/best-phone-mount-for-construction-vehicles-and-work-trucks,634808271140,fleet,2026-04-05T14:48:00-07:00,2026-06-11T18:33:08-07:00,11,9,3,14970,1087,missing early quick answer,best phone mount for construction vehicles and work trucks,,,,,Not available unless Shopify report export/API read_reports/GSC/GA4 data is supplied.
2026-06-25T02:35:18.544Z,Best Garmin Fish Finder Mount: How to Choose the Right Setup for Your Boat or Kayak,https://iboltmounts.com/blogs/how-to-mount-a-fish-finder-to-your-boat-using-ibolt-mounts/best-garmin-fish-finder-mount-how-to-choose-the-right-setup-for-your-boat-or-kayak,634908016932,fishing,2026-05-03T06:51:00-07:00,2026-06-01T13:59:07-07:00,13,10,3,23583,1050,missing early quick answer,best budget fish finder mount; best fish finder in water; best fish finder,,,,,Not available unless Shopify report export/API read_reports/GSC/GA4 data is supplied.
2026-06-25T02:35:18.544Z,Best Tablet Mount for Restaurant POS and Delivery Apps,https://iboltmounts.com/blogs/news/best-tablet-mount-for-restaurant-pos-and-delivery-apps,634808336676,restaurant,2026-04-11T14:48:00-07:00,2026-06-11T18:33:07-07:00,10,8,3,13554,999,missing early quick answer,best tablet mount for restaurant POS and delivery apps,,,,,Not available unless Shopify report export/API read_reports/GSC/GA4 data is supplied.
2026-06-25T02:35:18.544Z,Best Locking Tablet Stand for Food Trucks and Quick-Service Restaurants,https://iboltmounts.com/blogs/news/best-locking-tablet-stand-for-food-trucks-and-quick-service-restaurants,634808205604,restaurant,2026-02-20T14:48:00-08:00,2026-06-11T18:33:10-07:00,10,8,3,13476,978,missing early quick answer,best locking tablet stand for food trucks and quick service restaurants,,,,,Not available unless Shopify report export/API read_reports/GSC/GA4 data is supplied.
2026-06-25T02:35:18.544Z,Best Phone Mount for Amazon Flex and Delivery Vans,https://iboltmounts.com/blogs/news/best-phone-mount-for-amazon-flex-and-delivery-vans,634808238372,delivery,2026-05-30T19:00:45-07:00,2026-06-11T18:33:09-07:00,11,9,3,14423,978,missing early quick answer,best phone mount for Amazon Flex and delivery vans,,,,,Not available unless Shopify report export/API read_reports/GSC/GA4 data is supplied.
2026-06-25T02:35:18.544Z,Commercial-Grade Phone Mounts for Delivery Drivers,https://iboltmounts.com/blogs/news/commercial-grade-phone-mounts-delivery-drivers-aeo-refresh,634978566436,fleet,2026-05-31T11:30:23-07:00,2026-06-11T18:32:39-07:00,15,9,4,19111,967,too many cart CTAs,commercial grade phone mount for delivery drivers,,,,,Not available unless Shopify report export/API read_reports/GSC/GA4 data is supplied.
2026-06-25T02:35:18.544Z,Best Locking Phone Mount for Shared Delivery Vehicles,https://iboltmounts.com/blogs/news/best-locking-phone-mount-for-shared-delivery-vehicles,634808172836,delivery,2026-05-07T14:48:00-07:00,2026-06-11T18:33:11-07:00,10,8,3,14981,961,missing early quick answer,best locking phone mount for shared delivery vehicles,,,,,Not available unless Shopify report export/API read_reports/GSC/GA4 data is supplied.
2026-06-25T02:35:18.544Z,Best Phone Mount for Instacart and Grocery Delivery Drivers,https://iboltmounts.com/blogs/news/best-phone-mount-for-instacart-and-grocery-delivery-drivers,634808303908,delivery,2026-05-30T19:00:45-07:00,2026-06-11T18:33:07-07:00,11,9,3,13988,951,missing early quick answer,best phone mount for Instacart and grocery delivery drivers,,,,,Not available unless Shopify report export/API read_reports/GSC/GA4 data is supplied.
2026-06-25T02:35:18.544Z,Best Fish Finder Mount for Pontoon Boat Rails,https://iboltmounts.com/blogs/news/best-fish-finder-mount-for-pontoon-boat-rails,634821280036,fishing,2026-04-09T16:29:00-07:00,2026-06-11T18:33:03-07:00,7,7,5,15041,922,missing early quick answer,best fish finder mount for small boat,,,,,Not available unless Shopify report export/API read_reports/GSC/GA4 data is supplied.
