article_id,title,blog_handle,live_url,created_at,updated_at,author,tags,body_chars,product_links,add_to_cart_links,image_count
634807288100,Choosing the Best Kayak Fish Finder Mount for Secure and Convenient Fishing,how-to-mount-a-fish-finder-to-your-boat-using-ibolt-mounts,https://iboltmounts.com/blogs/how-to-mount-a-fish-finder-to-your-boat-using-ibolt-mounts/choosing-the-best-kayak-fish-finder-mount-for-secure-and-convenient-fishing,2026-05-12T14:36:06-07:00,2026-06-01T13:59:08-07:00,Shopify API,"6eb5704e-0a84-4f1d-9036-10a814e3e5e5, best-kayak-fish-finder-mount, ibolt-blog",21683,17,8,0
634807255332,Best Fish Finder Mount for Small Boats: Comparison and Buyer's Guide,how-to-mount-a-fish-finder-to-your-boat-using-ibolt-mounts,https://iboltmounts.com/blogs/how-to-mount-a-fish-finder-to-your-boat-using-ibolt-mounts/best-fish-finder-mount-for-small-boats-comparison-and-buyers-guide,2026-05-12T14:36:04-07:00,2026-06-01T13:59:09-07:00,Shopify API,"6eb5704e-0a84-4f1d-9036-10a814e3e5e5, best-fish-finder-mount-small-boat-comparison-guide, ibolt-blog",25133,16,11,0
635124711716,"Professional-Grade Mounting Solutions for Modern Workspaces, Vehicles, and Industries",news,https://iboltmounts.com/blogs/news/professional-grade-mounting-solutions-for-modern-workspaces-vehicles-and-industries,2026-06-13T20:52:56-07:00,2026-06-13T21:14:41-07:00,Katie Hobbs,,12182,0,0,0
635072807204,AEO Asset Upload - Modular Clamp Components B-roll,news,https://iboltmounts.com/blogs/news/aeo-asset-upload-modular-clamp-components-b-roll-1,2026-06-08T17:11:38-07:00,2026-06-08T17:11:38-07:00,Shopify API,"aeo asset upload, solution page b-roll",96,0,0,0
635072774436,AEO Asset Upload - Modular Clamp Components B-Roll,news,https://iboltmounts.com/blogs/news/aeo-asset-upload-modular-clamp-components-b-roll,2026-06-08T17:10:20-07:00,2026-06-08T17:10:20-07:00,Shopify API,"aeo-asset-upload, generated-broll, solution-page",82,0,0,0
634808107300,"iBOLT vs RAM Mount: Which Is Better for Warehouses, Forklifts, and Commercial Use? (2026)",news,https://iboltmounts.com/blogs/news/ibolt-vs-ram-mount-which-is-better-for-warehouses-forklifts-and-commercial-use-2027,2026-05-12T14:36:15-07:00,2026-06-11T18:33:12-07:00,Shopify API,"ibolt-blog, ibolt-vs-ram-mount-which-is-better-for-warehouses-forklifts-and-commercial-use-2026",24820,12,9,4
634808074532,iBOLT Tablet Tower System Featured at National Restaurant Association Show 2026,news,https://iboltmounts.com/blogs/news/ibolt-tablet-tower-system-featured-at-national-restaurant-association-show-2027,2026-05-12T14:36:14-07:00,2026-06-11T18:33:12-07:00,Shopify API,"ibolt-blog, ibolt-tablet-tower-system-featured-at-national-restaurant-association-show-2026",12046,5,5,3
634808041764,iBOLT Mounts and Toast POS: Powering Modern Restaurant Technology,news,https://iboltmounts.com/blogs/news/ibolt-mounts-and-toast-pos-powering-modern-restaurant-technology-1,2026-05-12T14:36:14-07:00,2026-06-11T18:33:13-07:00,Shopify API,"ibolt-blog, ibolt-mounts-and-toast-pos-powering-modern-restaurant-technology",11929,6,6,3
634808008996,iBOLT Mounts Supports ELD Compliance for America's Commercial Fleets,news,https://iboltmounts.com/blogs/news/ibolt-mounts-supports-eld-compliance-for-americas-commercial-fleets-1,2026-05-12T14:36:13-07:00,2026-06-11T18:33:13-07:00,Shopify API,"ibolt-blog, ibolt-mounts-supports-eld-compliance-for-america-s-commercial-fleets",11840,4,4,2
634807976228,iBOLT Mounting Solutions for Delivery Fleets: From DoorDash Drivers to Amazon DSP,news,https://iboltmounts.com/blogs/news/ibolt-mounting-solutions-for-delivery-fleets-from-doordash-drivers-to-amazon-dsp-1,2026-05-12T14:36:13-07:00,2026-06-11T18:33:14-07:00,Shopify API,"ibolt-blog, ibolt-mounting-solutions-for-delivery-fleets-from-doordash-drivers-to-amazon-dsp",13492,5,5,3
